City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,vega de alatorre,20.0333,-96.6333,82.58,58,4,10.11,MX,1729014972
318,strezhevoy,60.7333,77.5889,30.79,93,98,6.13,RU,1729014973
319,noyabrsk,63.1994,75.4507,32.05,98,99,6.13,RU,1729014975
320,yekaterinovka,52.0508,44.3451,37.22,78,100,11.36,RU,1729014976
321,puerto maldonado,-12.6,-69.1833,95.4,49,20,9.22,PE,1729014977
322,luancheng,37.8792,114.6517,62.31,62,100,5.23,CN,1729014978
323,pariaman,-0.619,100.12,75.25,81,99,9.1,ID,1729014979
324,sandnessjoen,66.0217,12.6316,48.31,87,75,14.97,NO,1729014980
325,geraldton,-28.7667,114.6,54.01,94,20,8.05,AU,1729014802
326,barra de santo antonio,-9.4047,-35.5072,79.59,69,81,10.94,BR,1729014983
327,nyaunglebin,17.95,96.7333,76.48,91,58,0.31,MM,1729014984
328,shar,49.5886,81.0453,33.3,65,38,6.04,KZ,1729014985
329,acapulco de juarez,16.8634,-99.8901,80.19,72,49,5.73,MX,1729014963
330,cidreira,-30.1811,-50.2056,65.12,96,100,13.56,BR,1729014988
331,kiunga,-6.1219,141.2906,72.66,100,99,2.35,PG,1729014989
332,luau,-10.7073,22.2247,66.24,81,91,3.51,AO,1729014990
333,calatayud,41.3535,-1.6432,66.24,64,57,11.36,ES,1729014992
334,irondequoit,43.2134,-77.5797,50.09,72,40,12.66,US,1729014798
335,sines,37.9562,-8.8698,67.28,79,99,21.99,PT,1729014994
336,bathsheba,13.2167,-59.5167,88.41,66,20,13.8,BB,1729014995
337,radhanpur,23.8333,71.6,88.12,56,99,4.81,IN,1729014996
338,zhanaozen,43.3,52.8,46.58,23,75,10.18,KZ,1729014997
339,utrik,11.2278,169.8474,83.41,80,100,18.03,MH,1729014998
340,belyy yar,53.6039,91.3903,21.09,100,64,0.0,RU,1729015000
341,nar'yan-mar,67.6713,53.087,32.5,83,100,13.98,RU,1729015002
342,ust'-kulom,61.6864,53.6902,33.85,69,32,7.0,RU,1729015003
343,guiberoua,6.2392,-6.1727,77.67,82,98,3.13,CI,1729015004
344,posse,-14.0931,-46.3694,71.02,85,88,12.44,BR,1729015005
345,langepas,61.2544,75.2124,31.55,86,92,5.99,RU,1729015006
346,ugoofaaru,5.6667,73.0,81.93,82,68,12.03,MV,1729015007
347,plettenberg bay,-34.0527,23.3716,58.69,67,0,19.15,ZA,1729015008
348,aioun,16.6614,-9.6149,98.38,19,33,6.44,MR,1729015009
349,vernon,50.2581,-119.2691,51.33,93,100,1.14,CA,1729015010
350,qarazhal,48.0078,70.7903,42.67,68,100,10.4,KZ,1729015012
351,gangkofen,48.4333,12.5667,52.16,94,100,7.31,DE,1729015013
352,tarakan,3.3,117.6333,81.48,76,19,1.16,ID,1729015014
353,alindao,5.0267,21.2088,70.54,98,100,2.82,CF,1729015015
354,mercedes,-34.6515,-59.4307,79.95,37,3,9.84,AR,1729015016
355,belmonte,-15.8631,-38.8828,76.23,80,100,10.07,BR,1729015017
356,el porvenir,13.7617,-87.3458,86.45,60,89,4.52,HN,1729015018
357,afaahiti,-17.75,-149.2833,73.31,77,20,5.35,PF,1729015019
358,manay,7.215,126.5397,76.06,87,39,4.27,PH,1729015020
359,camana,-16.6228,-72.7111,67.6,72,3,7.56,PE,1729015021
360,salaqi,40.5414,110.5108,52.68,60,89,4.54,CN,1729014799
361,joshimath,30.5667,79.5667,53.26,60,9,2.48,IN,1729015023
362,bokani,9.4333,5.2,79.66,76,69,2.66,NG,1729015025
363,huarmey,-10.0681,-78.1522,69.4,74,37,9.48,PE,1729014753
364,formosa do rio preto,-11.0483,-45.1931,95.18,28,75,7.67,BR,1729015027
